,Age,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeking,Alchol,Caff,Chocalate,Nicotine,stimulant,depressant,hallucinagen,Gender_Male
33,3,2,28.0,31.0,46.0,46.0,42.0,5.0,4.0,6,6,6,6,0.25,0.5,0.3333333333333333,1
34,1,2,40.0,38.0,48.0,51.0,41.0,3.0,2.0,6,6,6,0,0.0,0.0,0.0,1
35,3,2,46.0,44.0,52.0,23.0,36.0,6.0,11.0,4,5,5,5,1.75,1.0,1.0,1
36,6,-4,33.0,34.0,28.0,41.0,36.0,6.0,2.0,3,6,6,6,0.0,0.0,0.0,1
37,3,2,33.0,36.0,45.0,43.0,30.0,4.0,6.0,6,6,5,0,0.0,0.0,0.0,1
38,5,-4,39.0,42.0,53.0,44.0,37.0,6.0,5.0,6,6,4,6,0.5,1.5,0.6666666666666666,1
39,4,2,22.0,48.0,48.0,43.0,47.0,4.0,4.0,6,4,5,1,0.25,0.0,0.3333333333333333,1
40,6,1,33.0,33.0,38.0,38.0,45.0,2.0,6.0,6,6,6,1,0.0,0.0,0.0,0
41,3,3,36.0,37.0,46.0,29.0,47.0,3.0,7.0,5,6,6,1,0.25,1.0,0.0,1
42,3,2,44.0,40.0,53.0,54.0,39.0,4.0,6.0,4,4,6,1,0.0,0.0,0.0,0
43,3,3,34.0,33.0,37.0,43.0,37.0,4.0,5.0,6,6,4,1,2.0,4.0,1.3333333333333333,1
44,3,1,27.0,36.0,44.0,42.0,34.0,4.0,6.0,6,6,6,6,1.25,1.0,1.3333333333333333,1
45,2,2,26.0,49.0,49.0,51.0,48.0,4.0,7.0,5,6,5,2,0.0,0.0,0.0,1
46,2,2,31.0,43.0,54.0,49.0,52.0,2.0,1.0,5,6,6,0,0.0,0.0,0.0,0
47,4,0,39.0,44.0,38.0,45.0,51.0,3.0,4.0,3,6,4,2,0.0,0.0,0.3333333333333333,0
48,4,3,19.0,45.0,48.0,49.0,49.0,1.0,3.0,5,6,4,0,0.0,0.0,0.0,1
49,4,-3,37.0,34.0,44.0,42.0,37.0,5.0,4.0,6,6,6,6,0.5,0.5,0.3333333333333333,1
50,2,3,44.0,36.0,32.0,37.0,44.0,6.0,10.0,6,6,6,5,0.0,0.0,0.0,0
51,3,3,46.0,39.0,45.0,35.0,42.0,3.0,4.0,6,6,6,6,0.75,1.5,2.3333333333333335,1
52,4,1,47.0,46.0,42.0,37.0,27.0,9.0,11.0,2,6,6,2,0.5,1.0,0.6666666666666666,1
53,5,2,34.0,40.0,36.0,45.0,36.0,6.0,2.0,5,6,5,1,0.0,0.0,0.0,0
54,4,3,23.0,39.0,53.0,45.0,44.0,4.0,6.0,5,6,5,1,0.5,0.5,1.0,1
55,5,-3,36.0,47.0,42.0,36.0,33.0,8.0,10.0,6,6,6,1,1.5,0.0,1.6666666666666667,1
56,5,1,36.0,35.0,38.0,40.0,39.0,2.0,1.0,3,6,6,0,0.0,0.0,0.0,0
57,3,0,36.0,40.0,34.0,43.0,44.0,2.0,2.0,5,6,6,0,0.0,0.0,0.0,0
58,2,2,30.0,44.0,32.0,45.0,47.0,3.0,5.0,1,6,3,0,0.0,0.0,0.0,0
59,4,-1,38.0,44.0,46.0,40.0,39.0,9.0,10.0,5,6,5,6,2.75,0.5,2.0,1
60,4,2,31.0,31.0,37.0,32.0,41.0,2.0,2.0,5,6,6,0,0.0,0.0,0.0,1
61,2,4,49.0,42.0,48.0,41.0,40.0,2.0,7.0,5,6,6,1,0.0,1.5,0.0,0
62,4,3,18.0,50.0,54.0,44.0,50.0,2.0,3.0,5,4,5,0,0.25,0.0,0.3333333333333333,1
63,2,2,30.0,30.0,33.0,34.0,45.0,2.0,3.0,5,5,5,4,0.0,0.0,0.0,1
64,4,2,46.0,38.0,41.0,39.0,42.0,2.0,3.0,5,6,5,0,0.0,0.0,0.0,1
65,4,4,22.0,43.0,53.0,40.0,48.0,2.0,5.0,6,6,5,1,1.25,0.5,0.6666666666666666,1
66,3,0,43.0,43.0,40.0,50.0,46.0,6.0,6.0,5,6,6,0,0.0,1.5,0.0,1
67,4,-3,26.0,35.0,38.0,51.0,45.0,3.0,3.0,4,0,5,0,0.0,0.0,0.0,1
68,2,3,32.0,38.0,53.0,37.0,41.0,7.0,6.0,5,6,5,5,0.5,0.5,0.6666666666666666,1
69,3,1,27.0,40.0,48.0,42.0,40.0,4.0,7.0,5,5,6,1,1.25,0.5,1.3333333333333333,1
70,4,-3,35.0,35.0,34.0,45.0,42.0,2.0,4.0,6,1,6,1,0.0,3.0,0.0,0
71,2,0,32.0,38.0,47.0,30.0,40.0,6.0,9.0,6,4,6,2,1.75,0.5,1.6666666666666667,1
72,4,-1,31.0,47.0,44.0,50.0,43.0,1.0,4.0,5,6,6,6,0.0,0.0,0.0,0
73,4,-1,22.0,46.0,46.0,46.0,48.0,5.0,8.0,6,6,5,2,0.25,0.5,0.0,1
74,4,1,29.0,36.0,44.0,45.0,49.0,3.0,6.0,6,6,6,1,0.0,0.0,0.0,1
75,6,-3,25.0,27.0,26.0,33.0,44.0,6.0,1.0,3,6,6,1,0.0,0.0,0.0,0
76,2,2,34.0,41.0,35.0,38.0,39.0,6.0,6.0,5,6,6,0,0.0,0.0,0.0,1
77,4,-2,32.0,35.0,35.0,46.0,46.0,1.0,1.0,4,6,5,6,0.0,0.0,0.0,0
78,3,2,37.0,28.0,42.0,35.0,39.0,4.0,1.0,3,6,5,6,0.5,0.0,0.6666666666666666,1
79,3,0,28.0,34.0,31.0,32.0,25.0,1.0,3.0,6,6,5,3,0.25,0.5,0.3333333333333333,1
80,3,1,32.0,34.0,32.0,50.0,37.0,4.0,6.0,5,6,6,1,0.0,0.0,0.0,1
81,6,4,36.0,42.0,49.0,42.0,51.0,4.0,6.0,6,6,5,0,0.25,1.5,0.0,0
82,5,2,28.0,31.0,46.0,37.0,41.0,7.0,8.0,5,6,6,1,0.5,1.0,0.6666666666666666,0
83,5,3,19.0,49.0,39.0,47.0,51.0,4.0,3.0,5,6,6,0,0.0,0.0,0.0,1
84,5,-2,46.0,33.0,38.0,52.0,29.0,5.0,6.0,3,6,6,6,0.0,2.5,0.0,0
85,4,-3,32.0,41.0,44.0,41.0,41.0,2.0,7.0,5,6,4,0,0.0,0.0,0.0,1
86,2,-1,31.0,40.0,35.0,44.0,45.0,6.0,10.0,3,6,6,6,0.0,0.5,0.0,0
87,3,0,43.0,39.0,38.0,44.0,41.0,4.0,8.0,5,6,5,6,0.0,0.5,0.0,1
88,5,-3,27.0,41.0,43.0,41.0,44.0,3.0,8.0,5,5,5,0,0.0,0.0,0.0,1
89,3,0,39.0,26.0,36.0,38.0,38.0,2.0,1.0,3,6,6,1,0.0,1.0,0.3333333333333333,0
90,3,3,45.0,36.0,48.0,39.0,40.0,6.0,6.0,5,6,5,0,0.25,1.5,0.6666666666666666,0
91,3,3,49.0,42.0,51.0,45.0,36.0,2.0,7.0,6,6,6,4,0.0,0.0,0.0,0
92,3,1,40.0,37.0,51.0,45.0,47.0,7.0,9.0,2,6,0,1,0.0,1.5,0.6666666666666666,1
93,2,-1,22.0,38.0,43.0,45.0,42.0,3.0,4.0,4,6,6,1,0.0,0.0,0.0,1
94,6,-3,34.0,34.0,39.0,48.0,45.0,2.0,2.0,3,6,6,0,0.0,0.0,0.0,0
95,4,3,29.0,36.0,39.0,47.0,41.0,2.0,1.0,5,6,5,3,0.0,1.5,0.0,1
96,4,3,31.0,42.0,53.0,32.0,49.0,6.0,6.0,6,6,6,1,0.5,1.0,0.6666666666666666,1
97,3,2,37.0,32.0,48.0,42.0,47.0,2.0,2.0,4,6,6,3,0.5,0.0,0.6666666666666666,0
98,4,3,31.0,44.0,44.0,39.0,33.0,5.0,4.0,5,6,5,2,0.5,0.5,0.0,0
99,3,4,25.0,37.0,46.0,39.0,48.0,4.0,10.0,4,6,4,2,0.5,0.0,0.6666666666666666,1
100,2,2,29.0,58.0,51.0,49.0,52.0,6.0,8.0,6,6,5,5,0.5,1.5,0.3333333333333333,0
101,2,3,26.0,55.0,50.0,33.0,39.0,4.0,10.0,6,6,5,0,2.25,3.5,2.6666666666666665,1
102,4,-3,30.0,43.0,34.0,42.0,48.0,2.0,4.0,4,6,5,6,0.0,0.0,0.0,0
103,4,-1,30.0,48.0,55.0,34.0,42.0,3.0,10.0,6,6,4,1,1.75,3.5,2.0,1
104,4,1,36.0,44.0,44.0,41.0,43.0,5.0,9.0,4,6,6,0,0.0,0.0,0.0,0
105,2,0,27.0,41.0,45.0,50.0,46.0,3.0,7.0,5,6,6,6,0.5,0.0,1.3333333333333333,0
106,3,1,18.0,43.0,33.0,38.0,54.0,2.0,2.0,3,6,6,0,0.0,0.0,0.0,1
107,2,0,46.0,38.0,33.0,45.0,39.0,2.0,4.0,4,5,5,0,0.0,0.0,0.0,0
108,3,-3,37.0,40.0,37.0,38.0,46.0,6.0,6.0,5,6,6,6,1.5,0.0,0.0,0
109,2,2,31.0,53.0,47.0,44.0,47.0,9.0,10.0,5,6,6,1,1.0,1.5,0.0,0
110,4,0,28.0,43.0,36.0,37.0,38.0,3.0,7.0,5,6,6,3,0.25,0.0,0.0,0
111,4,3,34.0,42.0,47.0,41.0,41.0,5.0,5.0,5,6,6,0,0.0,0.0,0.0,1
112,2,3,39.0,32.0,40.0,39.0,37.0,5.0,8.0,6,6,0,0,0.25,0.0,0.6666666666666666,1
113,2,2,25.0,42.0,52.0,35.0,36.0,4.0,6.0,3,6,6,6,0.0,0.0,0.0,0
114,4,1,36.0,44.0,48.0,44.0,47.0,5.0,6.0,4,6,4,6,0.0,0.5,0.0,0
115,3,0,17.0,52.0,55.0,38.0,31.0,9.0,10.0,4,6,4,6,1.0,1.5,2.0,1
116,2,1,38.0,36.0,40.0,45.0,49.0,2.0,1.0,5,6,5,6,0.75,1.0,1.6666666666666667,0
117,3,1,42.0,36.0,47.0,31.0,39.0,6.0,6.0,4,4,6,6,0.0,0.0,0.0,1
118,2,2,51.0,45.0,55.0,44.0,33.0,6.0,8.0,5,6,5,4,1.5,2.0,2.6666666666666665,0
119,3,0,53.0,26.0,29.0,50.0,44.0,4.0,2.0,5,6,6,6,0.0,3.0,0.3333333333333333,0
120,3,2,32.0,44.0,39.0,45.0,51.0,4.0,4.0,5,4,5,2,0.0,0.0,0.0,0
121,2,3,26.0,44.0,39.0,36.0,47.0,5.0,11.0,6,6,6,2,0.25,0.0,0.6666666666666666,0
122,3,1,50.0,31.0,35.0,29.0,36.0,6.0,7.0,2,6,5,1,0.0,0.0,0.0,0
123,5,3,38.0,41.0,45.0,41.0,35.0,4.0,5.0,6,6,3,1,0.0,0.0,0.0,1
124,2,2,38.0,35.0,43.0,43.0,43.0,8.0,7.0,5,6,5,3,0.75,0.0,0.0,0
125,4,-3,32.0,52.0,48.0,46.0,46.0,4.0,6.0,3,6,5,0,0.0,0.0,0.0,1
126,5,2,31.0,48.0,49.0,44.0,49.0,6.0,8.0,6,5,6,2,0.0,0.0,0.0,1
127,4,2,25.0,44.0,38.0,40.0,42.0,4.0,4.0,5,5,5,0,0.25,0.5,0.3333333333333333,1
128,4,-2,32.0,34.0,40.0,45.0,48.0,2.0,1.0,5,0,5,0,0.0,0.0,0.0,0
129,3,4,36.0,44.0,47.0,44.0,44.0,4.0,3.0,0,1,3,1,0.0,1.0,0.0,1
130,4,3,28.0,46.0,38.0,49.0,45.0,5.0,8.0,6,6,5,0,0.0,0.0,0.0,0
131,4,-3,45.0,42.0,36.0,46.0,55.0,3.0,3.0,5,6,4,0,0.0,0.0,0.0,0
132,4,-3,22.0,39.0,37.0,57.0,46.0,2.0,1.0,4,6,5,6,0.0,1.0,0.0,0
133,3,-1,33.0,36.0,42.0,42.0,44.0,2.0,2.0,4,6,6,6,0.0,0.0,0.0,0
134,3,3,35.0,41.0,48.0,42.0,43.0,6.0,8.0,5,6,5,5,0.0,0.5,0.0,1
135,2,3,60.0,29.0,44.0,47.0,37.0,2.0,8.0,6,6,6,2,0.75,0.0,0.0,0
136,3,-3,21.0,50.0,42.0,54.0,52.0,6.0,5.0,1,6,5,0,0.0,0.0,0.0,0
137,4,2,34.0,38.0,34.0,54.0,52.0,8.0,7.0,5,6,5,0,0.0,0.0,0.0,0
138,4,2,25.0,50.0,48.0,48.0,45.0,1.0,3.0,4,5,5,5,0.0,0.0,0.0,0
139,5,2,31.0,34.0,47.0,45.0,48.0,2.0,3.0,6,6,6,6,0.0,2.0,0.0,1
140,4,-3,35.0,42.0,42.0,49.0,40.0,4.0,6.0,6,6,5,6,0.0,0.0,0.0,1
141,2,2,54.0,42.0,55.0,49.0,40.0,3.0,6.0,5,6,5,0,0.0,1.0,0.0,0
142,3,-3,28.0,44.0,38.0,51.0,46.0,2.0,1.0,5,5,5,5,0.0,0.0,0.0,0
143,3,-2,31.0,38.0,37.0,45.0,41.0,6.0,8.0,6,6,6,3,0.0,0.0,0.0,1
144,3,1,21.0,48.0,42.0,51.0,54.0,3.0,5.0,1,6,6,0,0.0,0.0,0.0,1
145,4,1,37.0,32.0,43.0,35.0,42.0,4.0,9.0,6,6,5,1,0.0,0.0,0.6666666666666666,1
146,4,2,31.0,41.0,38.0,56.0,47.0,8.0,8.0,4,6,5,1,0.0,0.5,0.0,0
147,5,1,38.0,31.0,45.0,40.0,40.0,5.0,3.0,6,6,5,0,0.0,0.5,0.0,1
148,3,3,30.0,43.0,41.0,44.0,48.0,4.0,5.0,4,6,6,0,0.0,0.0,0.0,1
149,3,1,35.0,32.0,28.0,37.0,44.0,2.0,2.0,4,6,6,0,0.0,0.0,0.0,0
150,4,2,28.0,52.0,41.0,55.0,52.0,4.0,3.0,4,3,6,1,0.0,0.0,0.0,0
151,3,0,33.0,48.0,47.0,47.0,49.0,5.0,7.0,5,6,6,1,0.0,0.0,0.0,0
152,3,2,41.0,28.0,33.0,46.0,35.0,3.0,4.0,5,6,6,2,0.0,0.0,0.6666666666666666,0
153,2,2,31.0,29.0,41.0,39.0,37.0,1.0,2.0,5,6,4,5,0.25,1.5,0.6666666666666666,0
154,2,2,29.0,46.0,34.0,48.0,47.0,4.0,5.0,6,4,6,1,0.0,0.5,0.0,1
155,1,0,59.0,30.0,51.0,40.0,46.0,4.0,9.0,5,6,6,0,0.0,2.5,0.0,0
156,3,2,42.0,30.0,37.0,45.0,40.0,3.0,4.0,5,6,6,0,0.0,0.0,0.0,0
157,3,0,48.0,40.0,44.0,50.0,43.0,5.0,5.0,5,6,6,5,1.0,1.0,0.0,0
158,2,-3,26.0,47.0,33.0,40.0,47.0,4.0,9.0,6,6,6,1,0.0,0.0,0.0,1
159,3,2,33.0,41.0,44.0,41.0,45.0,7.0,10.0,3,6,6,0,0.0,0.0,0.0,0
160,4,0,31.0,36.0,42.0,44.0,44.0,4.0,3.0,4,6,3,0,0.0,0.0,0.0,0
161,4,3,46.0,45.0,49.0,42.0,44.0,4.0,8.0,5,6,6,3,0.5,1.0,1.3333333333333333,1
162,3,2,29.0,42.0,40.0,54.0,39.0,3.0,3.0,5,6,5,4,0.0,0.0,0.0,1
163,2,2,38.0,40.0,45.0,53.0,48.0,2.0,6.0,3,5,6,1,0.0,0.0,0.6666666666666666,0
164,2,0,53.0,40.0,44.0,49.0,43.0,4.0,4.0,4,6,6,6,0.0,0.0,0.0,0
165,2,4,37.0,42.0,35.0,52.0,49.0,2.0,5.0,3,3,6,1,0.25,0.0,0.0,0
166,4,3,33.0,38.0,44.0,40.0,52.0,2.0,4.0,6,6,5,0,0.0,0.0,0.3333333333333333,1
167,1,0,50.0,31.0,51.0,27.0,27.0,7.0,7.0,5,5,5,6,1.5,0.0,1.0,1
168,2,1,36.0,40.0,39.0,40.0,48.0,6.0,5.0,2,5,6,0,0.0,0.0,0.0,0
169,2,2,38.0,48.0,37.0,41.0,33.0,6.0,8.0,5,6,6,1,0.5,0.0,0.0,0
170,1,-1,32.0,40.0,36.0,47.0,41.0,3.0,8.0,5,6,5,4,0.0,1.5,0.0,0
171,4,-3,49.0,38.0,44.0,44.0,41.0,7.0,8.0,2,6,5,1,0.75,2.0,0.0,1
172,3,3,32.0,46.0,58.0,48.0,36.0,8.0,11.0,6,6,6,1,0.0,0.5,0.3333333333333333,1
173,4,1,41.0,36.0,43.0,40.0,47.0,5.0,3.0,5,6,6,5,0.0,0.0,0.6666666666666666,0
174,3,2,46.0,44.0,54.0,44.0,44.0,6.0,8.0,6,6,5,0,0.0,0.0,0.0,0
175,3,1,46.0,36.0,30.0,48.0,30.0,7.0,7.0,6,6,5,6,0.0,1.0,0.0,0
176,5,2,42.0,40.0,49.0,51.0,43.0,5.0,7.0,5,6,6,3,0.0,0.0,0.0,0
177,3,2,34.0,36.0,40.0,35.0,38.0,2.0,3.0,3,5,4,0,0.0,0.0,0.0,0
178,3,2,50.0,40.0,37.0,37.0,49.0,3.0,5.0,5,6,4,0,0.0,0.0,0.0,0
179,4,2,44.0,33.0,43.0,48.0,41.0,5.0,6.0,5,6,6,6,0.25,0.0,0.3333333333333333,0
180,3,1,40.0,39.0,39.0,50.0,37.0,2.0,3.0,5,6,4,6,0.5,0.0,1.0,0
181,4,1,39.0,44.0,35.0,45.0,48.0,5.0,7.0,5,6,5,2,0.0,0.0,0.0,0
182,2,4,24.0,37.0,44.0,47.0,48.0,3.0,3.0,5,6,5,0,0.0,0.0,0.0,1
183,3,0,39.0,45.0,44.0,51.0,47.0,2.0,3.0,5,0,4,0,0.0,0.0,0.0,0
184,1,2,54.0,37.0,48.0,38.0,48.0,3.0,8.0,6,6,5,6,3.0,0.0,1.0,0
185,5,-1,36.0,34.0,39.0,47.0,44.0,2.0,3.0,6,6,5,6,0.0,0.0,0.0,1
186,3,2,39.0,44.0,46.0,48.0,41.0,4.0,5.0,5,6,5,0,0.25,0.0,0.6666666666666666,0
187,3,3,29.0,49.0,47.0,45.0,53.0,2.0,2.0,6,6,4,1,0.0,0.0,0.0,0
188,5,-3,28.0,34.0,32.0,50.0,46.0,2.0,2.0,4,3,5,1,0.0,0.0,0.0,0
189,4,-3,40.0,30.0,31.0,47.0,40.0,2.0,1.0,4,3,6,6,0.0,1.0,0.0,0
190,1,3,32.0,40.0,43.0,44.0,47.0,3.0,4.0,5,5,4,3,0.0,0.0,0.0,0
191,5,1,23.0,40.0,40.0,47.0,40.0,3.0,2.0,5,3,5,0,0.0,0.5,0.0,0
192,1,2,32.0,48.0,38.0,47.0,38.0,6.0,7.0,5,6,5,2,0.0,0.0,0.0,1
193,2,1,28.0,38.0,45.0,45.0,38.0,7.0,7.0,5,6,4,6,0.75,0.5,1.0,0
194,4,2,39.0,32.0,43.0,44.0,43.0,2.0,7.0,5,6,5,0,0.0,0.0,0.3333333333333333,0
195,2,2,27.0,48.0,46.0,43.0,45.0,3.0,3.0,3,4,5,0,0.0,0.0,0.0,0
196,5,2,42.0,42.0,51.0,41.0,48.0,6.0,7.0,5,6,4,4,0.25,0.5,0.0,0
197,1,2,30.0,42.0,42.0,51.0,35.0,5.0,3.0,4,5,4,0,0.0,0.0,0.0,1
198,5,2,32.0,43.0,41.0,37.0,38.0,3.0,4.0,5,5,5,0,0.0,0.0,0.0,0
199,2,1,35.0,43.0,50.0,48.0,42.0,9.0,10.0,6,5,6,6,3.25,3.5,3.0,0
200,4,1,31.0,54.0,51.0,54.0,50.0,6.0,7.0,4,6,5,6,2.25,1.0,4.333333333333333,0
201,1,2,30.0,41.0,40.0,50.0,51.0,6.0,10.0,6,5,6,0,0.0,0.0,0.0,0
202,3,3,34.0,33.0,42.0,34.0,50.0,3.0,4.0,5,6,6,4,2.75,2.5,2.6666666666666665,1
203,3,2,29.0,48.0,43.0,49.0,49.0,5.0,4.0,6,6,2,1,0.0,1.5,0.0,0
204,6,-4,22.0,32.0,29.0,37.0,37.0,2.0,1.0,5,6,5,6,0.0,0.0,0.0,1
205,2,2,34.0,46.0,54.0,43.0,44.0,4.0,8.0,5,6,5,4,1.5,2.0,2.0,0
206,3,-3,34.0,47.0,48.0,37.0,34.0,9.0,8.0,5,6,6,0,0.0,1.5,0.0,0
207,1,2,35.0,48.0,50.0,44.0,45.0,7.0,7.0,5,6,6,0,0.0,0.0,0.0,0
208,3,1,29.0,43.0,42.0,47.0,41.0,4.0,8.0,5,6,3,6,1.0,2.5,1.0,0
209,3,2,37.0,40.0,45.0,41.0,42.0,6.0,10.0,4,6,5,6,2.0,0.5,2.6666666666666665,0
210,2,3,23.0,43.0,53.0,40.0,49.0,2.0,4.0,0,6,4,0,0.0,0.0,0.0,1
211,2,0,43.0,41.0,36.0,43.0,32.0,9.0,9.0,3,6,5,0,0.0,0.0,0.0,0
212,4,-3,29.0,36.0,38.0,50.0,48.0,2.0,1.0,5,6,4,0,0.0,0.0,0.0,0
213,2,1,37.0,44.0,40.0,54.0,46.0,4.0,3.0,6,6,5,6,0.25,0.5,1.0,0
214,4,1,41.0,39.0,37.0,49.0,43.0,2.0,2.0,5,6,6,0,0.0,0.5,0.0,0
215,2,1,34.0,47.0,49.0,51.0,50.0,5.0,10.0,5,5,6,2,0.0,0.0,0.0,0
216,2,2,51.0,38.0,41.0,50.0,39.0,5.0,7.0,5,6,4,3,1.25,0.0,1.6666666666666667,0
217,2,1,38.0,47.0,48.0,52.0,42.0,7.0,9.0,5,6,5,3,1.5,0.5,0.3333333333333333,0
218,3,1,48.0,45.0,49.0,52.0,29.0,9.0,9.0,2,6,6,6,1.0,1.0,0.6666666666666666,1
219,2,3,39.0,47.0,40.0,36.0,47.0,4.0,5.0,4,6,6,3,0.0,0.0,0.6666666666666666,0
220,3,0,32.0,36.0,47.0,50.0,44.0,2.0,4.0,6,4,5,6,0.75,1.0,0.3333333333333333,0
221,1,2,44.0,38.0,48.0,43.0,43.0,5.0,7.0,5,6,5,3,0.0,1.0,0.6666666666666666,0
222,2,2,34.0,43.0,43.0,38.0,48.0,6.0,5.0,3,6,6,2,0.0,0.0,0.0,0
223,3,2,33.0,44.0,51.0,50.0,44.0,8.0,10.0,6,5,5,2,1.0,0.0,1.0,0
224,5,2,25.0,47.0,44.0,50.0,48.0,4.0,7.0,1,1,6,1,0.0,0.0,0.0,1
225,4,2,31.0,49.0,48.0,46.0,47.0,4.0,6.0,5,0,6,0,0.0,0.0,0.0,0
226,3,2,24.0,44.0,52.0,40.0,44.0,2.0,2.0,6,6,5,6,1.0,0.0,0.6666666666666666,0
227,4,2,31.0,43.0,41.0,52.0,51.0,4.0,4.0,5,6,6,1,0.0,0.0,0.0,0
228,1,0,38.0,46.0,39.0,39.0,46.0,8.0,8.0,5,5,6,4,0.0,0.0,0.0,1
229,4,3,29.0,42.0,46.0,38.0,41.0,5.0,7.0,6,6,6,2,0.75,1.0,0.6666666666666666,1
230,4,2,26.0,49.0,47.0,49.0,52.0,2.0,1.0,6,6,6,0,0.0,0.0,0.0,0
231,3,1,46.0,23.0,33.0,47.0,45.0,2.0,2.0,5,5,6,3,0.0,1.0,0.0,0
232,6,3,37.0,32.0,43.0,40.0,44.0,4.0,2.0,6,6,5,1,0.0,0.5,0.0,0
233,2,2,36.0,48.0,46.0,44.0,47.0,6.0,9.0,5,6,6,0,0.25,0.0,0.6666666666666666,0
234,4,2,29.0,45.0,36.0,49.0,44.0,6.0,8.0,6,6,4,0,0.0,0.0,0.0,1
235,2,2,40.0,46.0,46.0,37.0,52.0,5.0,8.0,4,6,6,2,0.0,0.0,0.0,0
236,2,1,36.0,46.0,37.0,56.0,54.0,2.0,1.0,5,6,6,0,0.0,1.5,0.0,0
237,2,3,50.0,42.0,45.0,46.0,45.0,5.0,6.0,6,6,6,0,0.0,0.0,0.0,0
238,2,-3,45.0,39.0,30.0,45.0,50.0,2.0,1.0,5,6,6,6,0.25,0.5,0.0,0
239,1,-1,41.0,39.0,41.0,39.0,44.0,4.0,6.0,4,6,6,0,0.0,0.0,0.0,0
240,4,1,20.0,44.0,51.0,53.0,44.0,2.0,4.0,5,6,5,0,0.0,0.0,0.0,0
