,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeking,Alchol,Caff,Chocalate,Nicotine,stimulant,depressant,hallucinagen
24,45-54,Male,Left school at 16 years,51.0,16.0,37.0,45.0,34.0,2.0,2.0,6,6,6,6,1.0,3.0,0.3333333333333333
25,55-64,Male,University degree,34.0,44.0,54.0,48.0,51.0,4.0,5.0,5,5,5,6,0.5,1.0,1.0
26,45-54,Male,"Some college or university, no certificate or degree",28.0,37.0,37.0,49.0,42.0,4.0,8.0,5,6,5,1,0.75,1.0,2.0
27,55-64,Female,Left school at 18 years ,35.0,28.0,24.0,38.0,46.0,5.0,2.0,6,6,6,6,0.0,1.0,0.0
28,35-44,Male,University degree,41.0,31.0,46.0,43.0,25.0,9.0,8.0,6,6,5,2,0.5,1.5,1.3333333333333333
29,35-44,Female,Masters degree,36.0,29.0,41.0,45.0,50.0,5.0,5.0,6,4,5,0,0.0,0.0,0.0
30,45-54,Male,Doctorate degree,24.0,51.0,52.0,49.0,53.0,4.0,5.0,0,6,6,0,0.0,0.0,0.0
31,45-54,Male,Left school at 16 years,39.0,34.0,37.0,33.0,37.0,2.0,7.0,6,6,6,2,0.5,1.0,0.6666666666666666
32,35-44,Female,Left school at 16 years,25.0,34.0,47.0,39.0,42.0,2.0,4.0,3,3,5,1,0.0,1.0,0.0
33,35-44,Male,University degree,28.0,31.0,46.0,46.0,42.0,5.0,4.0,6,6,6,6,0.25,0.5,0.3333333333333333
34,18-24,Male,University degree,40.0,38.0,48.0,51.0,41.0,3.0,2.0,6,6,6,0,0.0,0.0,0.0
35,35-44,Male,University degree,46.0,44.0,52.0,23.0,36.0,6.0,11.0,4,5,5,5,1.75,1.0,1.0
36,65+,Male,Left school before 16 years,33.0,34.0,28.0,41.0,36.0,6.0,2.0,3,6,6,6,0.0,0.0,0.0
37,35-44,Male,University degree,33.0,36.0,45.0,43.0,30.0,4.0,6.0,6,6,5,0,0.0,0.0,0.0
38,55-64,Male,Left school before 16 years,39.0,42.0,53.0,44.0,37.0,6.0,5.0,6,6,4,6,0.5,1.5,0.6666666666666666
39,45-54,Male,University degree,22.0,48.0,48.0,43.0,47.0,4.0,4.0,6,4,5,1,0.25,0.0,0.3333333333333333
40,65+,Female,Professional certificate/diploma,33.0,33.0,38.0,38.0,45.0,2.0,6.0,6,6,6,1,0.0,0.0,0.0
41,35-44,Male,Masters degree,36.0,37.0,46.0,29.0,47.0,3.0,7.0,5,6,6,1,0.25,1.0,0.0
42,35-44,Female,University degree,44.0,40.0,53.0,54.0,39.0,4.0,6.0,4,4,6,1,0.0,0.0,0.0
43,35-44,Male,Masters degree,34.0,33.0,37.0,43.0,37.0,4.0,5.0,6,6,4,1,2.0,4.0,1.3333333333333333
44,35-44,Male,Professional certificate/diploma,27.0,36.0,44.0,42.0,34.0,4.0,6.0,6,6,6,6,1.25,1.0,1.3333333333333333
45,25-34,Male,University degree,26.0,49.0,49.0,51.0,48.0,4.0,7.0,5,6,5,2,0.0,0.0,0.0
46,25-34,Female,University degree,31.0,43.0,54.0,49.0,52.0,2.0,1.0,5,6,6,0,0.0,0.0,0.0
47,45-54,Female,"Some college or university, no certificate or degree",39.0,44.0,38.0,45.0,51.0,3.0,4.0,3,6,4,2,0.0,0.0,0.3333333333333333
48,45-54,Male,Masters degree,19.0,45.0,48.0,49.0,49.0,1.0,3.0,5,6,4,0,0.0,0.0,0.0
49,45-54,Male,Left school at 16 years,37.0,34.0,44.0,42.0,37.0,5.0,4.0,6,6,6,6,0.5,0.5,0.3333333333333333
50,25-34,Female,Masters degree,44.0,36.0,32.0,37.0,44.0,6.0,10.0,6,6,6,5,0.0,0.0,0.0
51,35-44,Male,Masters degree,46.0,39.0,45.0,35.0,42.0,3.0,4.0,6,6,6,6,0.75,1.5,2.3333333333333335
52,45-54,Male,Professional certificate/diploma,47.0,46.0,42.0,37.0,27.0,9.0,11.0,2,6,6,2,0.5,1.0,0.6666666666666666
53,55-64,Female,University degree,34.0,40.0,36.0,45.0,36.0,6.0,2.0,5,6,5,1,0.0,0.0,0.0
54,45-54,Male,Masters degree,23.0,39.0,53.0,45.0,44.0,4.0,6.0,5,6,5,1,0.5,0.5,1.0
55,55-64,Male,Left school at 16 years,36.0,47.0,42.0,36.0,33.0,8.0,10.0,6,6,6,1,1.5,0.0,1.6666666666666667
56,55-64,Female,Professional certificate/diploma,36.0,35.0,38.0,40.0,39.0,2.0,1.0,3,6,6,0,0.0,0.0,0.0
57,35-44,Female,"Some college or university, no certificate or degree",36.0,40.0,34.0,43.0,44.0,2.0,2.0,5,6,6,0,0.0,0.0,0.0
58,25-34,Female,University degree,30.0,44.0,32.0,45.0,47.0,3.0,5.0,1,6,3,0,0.0,0.0,0.0
59,45-54,Male,Left school at 18 years ,38.0,44.0,46.0,40.0,39.0,9.0,10.0,5,6,5,6,2.75,0.5,2.0
60,45-54,Male,University degree,31.0,31.0,37.0,32.0,41.0,2.0,2.0,5,6,6,0,0.0,0.0,0.0
61,25-34,Female,Doctorate degree,49.0,42.0,48.0,41.0,40.0,2.0,7.0,5,6,6,1,0.0,1.5,0.0
62,45-54,Male,Masters degree,18.0,50.0,54.0,44.0,50.0,2.0,3.0,5,4,5,0,0.25,0.0,0.3333333333333333
63,25-34,Male,University degree,30.0,30.0,33.0,34.0,45.0,2.0,3.0,5,5,5,4,0.0,0.0,0.0
64,45-54,Male,University degree,46.0,38.0,41.0,39.0,42.0,2.0,3.0,5,6,5,0,0.0,0.0,0.0
65,45-54,Male,Doctorate degree,22.0,43.0,53.0,40.0,48.0,2.0,5.0,6,6,5,1,1.25,0.5,0.6666666666666666
66,35-44,Male,"Some college or university, no certificate or degree",43.0,43.0,40.0,50.0,46.0,6.0,6.0,5,6,6,0,0.0,1.5,0.0
67,45-54,Male,Left school at 16 years,26.0,35.0,38.0,51.0,45.0,3.0,3.0,4,0,5,0,0.0,0.0,0.0
68,25-34,Male,Masters degree,32.0,38.0,53.0,37.0,41.0,7.0,6.0,5,6,5,5,0.5,0.5,0.6666666666666666
69,35-44,Male,Professional certificate/diploma,27.0,40.0,48.0,42.0,40.0,4.0,7.0,5,5,6,1,1.25,0.5,1.3333333333333333
70,45-54,Female,Left school at 16 years,35.0,35.0,34.0,45.0,42.0,2.0,4.0,6,1,6,1,0.0,3.0,0.0
71,25-34,Male,"Some college or university, no certificate or degree",32.0,38.0,47.0,30.0,40.0,6.0,9.0,6,4,6,2,1.75,0.5,1.6666666666666667
72,45-54,Female,Left school at 18 years ,31.0,47.0,44.0,50.0,43.0,1.0,4.0,5,6,6,6,0.0,0.0,0.0
73,45-54,Male,Left school at 18 years ,22.0,46.0,46.0,46.0,48.0,5.0,8.0,6,6,5,2,0.25,0.5,0.0
74,45-54,Male,Professional certificate/diploma,29.0,36.0,44.0,45.0,49.0,3.0,6.0,6,6,6,1,0.0,0.0,0.0
75,65+,Female,Left school at 16 years,25.0,27.0,26.0,33.0,44.0,6.0,1.0,3,6,6,1,0.0,0.0,0.0
76,25-34,Male,University degree,34.0,41.0,35.0,38.0,39.0,6.0,6.0,5,6,6,0,0.0,0.0,0.0
77,45-54,Female,Left school at 17 years,32.0,35.0,35.0,46.0,46.0,1.0,1.0,4,6,5,6,0.0,0.0,0.0
78,35-44,Male,University degree,37.0,28.0,42.0,35.0,39.0,4.0,1.0,3,6,5,6,0.5,0.0,0.6666666666666666
79,35-44,Male,"Some college or university, no certificate or degree",28.0,34.0,31.0,32.0,25.0,1.0,3.0,6,6,5,3,0.25,0.5,0.3333333333333333
80,35-44,Male,Professional certificate/diploma,32.0,34.0,32.0,50.0,37.0,4.0,6.0,5,6,6,1,0.0,0.0,0.0
81,65+,Female,Doctorate degree,36.0,42.0,49.0,42.0,51.0,4.0,6.0,6,6,5,0,0.25,1.5,0.0
82,55-64,Female,University degree,28.0,31.0,46.0,37.0,41.0,7.0,8.0,5,6,6,1,0.5,1.0,0.6666666666666666
83,55-64,Male,Masters degree,19.0,49.0,39.0,47.0,51.0,4.0,3.0,5,6,6,0,0.0,0.0,0.0
84,55-64,Female,Left school at 17 years,46.0,33.0,38.0,52.0,29.0,5.0,6.0,3,6,6,6,0.0,2.5,0.0
85,45-54,Male,Left school at 16 years,32.0,41.0,44.0,41.0,41.0,2.0,7.0,5,6,4,0,0.0,0.0,0.0
86,25-34,Female,Left school at 18 years ,31.0,40.0,35.0,44.0,45.0,6.0,10.0,3,6,6,6,0.0,0.5,0.0
87,35-44,Male,"Some college or university, no certificate or degree",43.0,39.0,38.0,44.0,41.0,4.0,8.0,5,6,5,6,0.0,0.5,0.0
88,55-64,Male,Left school at 16 years,27.0,41.0,43.0,41.0,44.0,3.0,8.0,5,5,5,0,0.0,0.0,0.0
89,35-44,Female,"Some college or university, no certificate or degree",39.0,26.0,36.0,38.0,38.0,2.0,1.0,3,6,6,1,0.0,1.0,0.3333333333333333
90,35-44,Female,Masters degree,45.0,36.0,48.0,39.0,40.0,6.0,6.0,5,6,5,0,0.25,1.5,0.6666666666666666
91,35-44,Female,Masters degree,49.0,42.0,51.0,45.0,36.0,2.0,7.0,6,6,6,4,0.0,0.0,0.0
92,35-44,Male,Professional certificate/diploma,40.0,37.0,51.0,45.0,47.0,7.0,9.0,2,6,0,1,0.0,1.5,0.6666666666666666
93,25-34,Male,Left school at 18 years ,22.0,38.0,43.0,45.0,42.0,3.0,4.0,4,6,6,1,0.0,0.0,0.0
94,65+,Female,Left school at 16 years,34.0,34.0,39.0,48.0,45.0,2.0,2.0,3,6,6,0,0.0,0.0,0.0
95,45-54,Male,Masters degree,29.0,36.0,39.0,47.0,41.0,2.0,1.0,5,6,5,3,0.0,1.5,0.0
96,45-54,Male,Masters degree,31.0,42.0,53.0,32.0,49.0,6.0,6.0,6,6,6,1,0.5,1.0,0.6666666666666666
97,35-44,Female,University degree,37.0,32.0,48.0,42.0,47.0,2.0,2.0,4,6,6,3,0.5,0.0,0.6666666666666666
98,45-54,Female,Masters degree,31.0,44.0,44.0,39.0,33.0,5.0,4.0,5,6,5,2,0.5,0.5,0.0
99,35-44,Male,Doctorate degree,25.0,37.0,46.0,39.0,48.0,4.0,10.0,4,6,4,2,0.5,0.0,0.6666666666666666
100,25-34,Female,University degree,29.0,58.0,51.0,49.0,52.0,6.0,8.0,6,6,5,5,0.5,1.5,0.3333333333333333
101,25-34,Male,Masters degree,26.0,55.0,50.0,33.0,39.0,4.0,10.0,6,6,5,0,2.25,3.5,2.6666666666666665
102,45-54,Female,Left school at 16 years,30.0,43.0,34.0,42.0,48.0,2.0,4.0,4,6,5,6,0.0,0.0,0.0
103,45-54,Male,Left school at 18 years ,30.0,48.0,55.0,34.0,42.0,3.0,10.0,6,6,4,1,1.75,3.5,2.0
104,45-54,Female,Professional certificate/diploma,36.0,44.0,44.0,41.0,43.0,5.0,9.0,4,6,6,0,0.0,0.0,0.0
105,25-34,Female,"Some college or university, no certificate or degree",27.0,41.0,45.0,50.0,46.0,3.0,7.0,5,6,6,6,0.5,0.0,1.3333333333333333
106,35-44,Male,Professional certificate/diploma,18.0,43.0,33.0,38.0,54.0,2.0,2.0,3,6,6,0,0.0,0.0,0.0
107,25-34,Female,"Some college or university, no certificate or degree",46.0,38.0,33.0,45.0,39.0,2.0,4.0,4,5,5,0,0.0,0.0,0.0
108,35-44,Female,Left school at 16 years,37.0,40.0,37.0,38.0,46.0,6.0,6.0,5,6,6,6,1.5,0.0,0.0
109,25-34,Female,University degree,31.0,53.0,47.0,44.0,47.0,9.0,10.0,5,6,6,1,1.0,1.5,0.0
110,45-54,Female,"Some college or university, no certificate or degree",28.0,43.0,36.0,37.0,38.0,3.0,7.0,5,6,6,3,0.25,0.0,0.0
111,45-54,Male,Masters degree,34.0,42.0,47.0,41.0,41.0,5.0,5.0,5,6,6,0,0.0,0.0,0.0
112,25-34,Male,Masters degree,39.0,32.0,40.0,39.0,37.0,5.0,8.0,6,6,0,0,0.25,0.0,0.6666666666666666
113,25-34,Female,University degree,25.0,42.0,52.0,35.0,36.0,4.0,6.0,3,6,6,6,0.0,0.0,0.0
114,45-54,Female,Professional certificate/diploma,36.0,44.0,48.0,44.0,47.0,5.0,6.0,4,6,4,6,0.0,0.5,0.0
115,35-44,Male,"Some college or university, no certificate or degree",17.0,52.0,55.0,38.0,31.0,9.0,10.0,4,6,4,6,1.0,1.5,2.0
116,25-34,Female,Professional certificate/diploma,38.0,36.0,40.0,45.0,49.0,2.0,1.0,5,6,5,6,0.75,1.0,1.6666666666666667
117,35-44,Male,Professional certificate/diploma,42.0,36.0,47.0,31.0,39.0,6.0,6.0,4,4,6,6,0.0,0.0,0.0
118,25-34,Female,University degree,51.0,45.0,55.0,44.0,33.0,6.0,8.0,5,6,5,4,1.5,2.0,2.6666666666666665
119,35-44,Female,"Some college or university, no certificate or degree",53.0,26.0,29.0,50.0,44.0,4.0,2.0,5,6,6,6,0.0,3.0,0.3333333333333333
120,35-44,Female,University degree,32.0,44.0,39.0,45.0,51.0,4.0,4.0,5,4,5,2,0.0,0.0,0.0
121,25-34,Female,Masters degree,26.0,44.0,39.0,36.0,47.0,5.0,11.0,6,6,6,2,0.25,0.0,0.6666666666666666
122,35-44,Female,Professional certificate/diploma,50.0,31.0,35.0,29.0,36.0,6.0,7.0,2,6,5,1,0.0,0.0,0.0
123,55-64,Male,Masters degree,38.0,41.0,45.0,41.0,35.0,4.0,5.0,6,6,3,1,0.0,0.0,0.0
124,25-34,Female,University degree,38.0,35.0,43.0,43.0,43.0,8.0,7.0,5,6,5,3,0.75,0.0,0.0
125,45-54,Male,Left school at 16 years,32.0,52.0,48.0,46.0,46.0,4.0,6.0,3,6,5,0,0.0,0.0,0.0
126,55-64,Male,University degree,31.0,48.0,49.0,44.0,49.0,6.0,8.0,6,5,6,2,0.0,0.0,0.0
127,45-54,Male,University degree,25.0,44.0,38.0,40.0,42.0,4.0,4.0,5,5,5,0,0.25,0.5,0.3333333333333333
128,45-54,Female,Left school at 17 years,32.0,34.0,40.0,45.0,48.0,2.0,1.0,5,0,5,0,0.0,0.0,0.0
129,35-44,Male,Doctorate degree,36.0,44.0,47.0,44.0,44.0,4.0,3.0,0,1,3,1,0.0,1.0,0.0
130,45-54,Female,Masters degree,28.0,46.0,38.0,49.0,45.0,5.0,8.0,6,6,5,0,0.0,0.0,0.0
131,45-54,Female,Left school at 16 years,45.0,42.0,36.0,46.0,55.0,3.0,3.0,5,6,4,0,0.0,0.0,0.0
132,45-54,Female,Left school at 16 years,22.0,39.0,37.0,57.0,46.0,2.0,1.0,4,6,5,6,0.0,1.0,0.0
133,35-44,Female,Left school at 18 years ,33.0,36.0,42.0,42.0,44.0,2.0,2.0,4,6,6,6,0.0,0.0,0.0
134,35-44,Male,Masters degree,35.0,41.0,48.0,42.0,43.0,6.0,8.0,5,6,5,5,0.0,0.5,0.0
135,25-34,Female,Masters degree,60.0,29.0,44.0,47.0,37.0,2.0,8.0,6,6,6,2,0.75,0.0,0.0
136,35-44,Female,Left school at 16 years,21.0,50.0,42.0,54.0,52.0,6.0,5.0,1,6,5,0,0.0,0.0,0.0
137,45-54,Female,University degree,34.0,38.0,34.0,54.0,52.0,8.0,7.0,5,6,5,0,0.0,0.0,0.0
138,45-54,Female,University degree,25.0,50.0,48.0,48.0,45.0,1.0,3.0,4,5,5,5,0.0,0.0,0.0
139,55-64,Male,University degree,31.0,34.0,47.0,45.0,48.0,2.0,3.0,6,6,6,6,0.0,2.0,0.0
140,45-54,Male,Left school at 16 years,35.0,42.0,42.0,49.0,40.0,4.0,6.0,6,6,5,6,0.0,0.0,0.0
141,25-34,Female,University degree,54.0,42.0,55.0,49.0,40.0,3.0,6.0,5,6,5,0,0.0,1.0,0.0
142,35-44,Female,Left school at 16 years,28.0,44.0,38.0,51.0,46.0,2.0,1.0,5,5,5,5,0.0,0.0,0.0
143,35-44,Male,Left school at 17 years,31.0,38.0,37.0,45.0,41.0,6.0,8.0,6,6,6,3,0.0,0.0,0.0
144,35-44,Male,Professional certificate/diploma,21.0,48.0,42.0,51.0,54.0,3.0,5.0,1,6,6,0,0.0,0.0,0.0
145,45-54,Male,Professional certificate/diploma,37.0,32.0,43.0,35.0,42.0,4.0,9.0,6,6,5,1,0.0,0.0,0.6666666666666666
146,45-54,Female,University degree,31.0,41.0,38.0,56.0,47.0,8.0,8.0,4,6,5,1,0.0,0.5,0.0
147,55-64,Male,Professional certificate/diploma,38.0,31.0,45.0,40.0,40.0,5.0,3.0,6,6,5,0,0.0,0.5,0.0
148,35-44,Male,Masters degree,30.0,43.0,41.0,44.0,48.0,4.0,5.0,4,6,6,0,0.0,0.0,0.0
149,35-44,Female,Professional certificate/diploma,35.0,32.0,28.0,37.0,44.0,2.0,2.0,4,6,6,0,0.0,0.0,0.0
150,45-54,Female,University degree,28.0,52.0,41.0,55.0,52.0,4.0,3.0,4,3,6,1,0.0,0.0,0.0
151,35-44,Female,"Some college or university, no certificate or degree",33.0,48.0,47.0,47.0,49.0,5.0,7.0,5,6,6,1,0.0,0.0,0.0
152,35-44,Female,University degree,41.0,28.0,33.0,46.0,35.0,3.0,4.0,5,6,6,2,0.0,0.0,0.6666666666666666
153,25-34,Female,University degree,31.0,29.0,41.0,39.0,37.0,1.0,2.0,5,6,4,5,0.25,1.5,0.6666666666666666
154,25-34,Male,University degree,29.0,46.0,34.0,48.0,47.0,4.0,5.0,6,4,6,1,0.0,0.5,0.0
155,18-24,Female,"Some college or university, no certificate or degree",59.0,30.0,51.0,40.0,46.0,4.0,9.0,5,6,6,0,0.0,2.5,0.0
156,35-44,Female,University degree,42.0,30.0,37.0,45.0,40.0,3.0,4.0,5,6,6,0,0.0,0.0,0.0
157,35-44,Female,"Some college or university, no certificate or degree",48.0,40.0,44.0,50.0,43.0,5.0,5.0,5,6,6,5,1.0,1.0,0.0
158,25-34,Male,Left school at 16 years,26.0,47.0,33.0,40.0,47.0,4.0,9.0,6,6,6,1,0.0,0.0,0.0
159,35-44,Female,University degree,33.0,41.0,44.0,41.0,45.0,7.0,10.0,3,6,6,0,0.0,0.0,0.0
160,45-54,Female,"Some college or university, no certificate or degree",31.0,36.0,42.0,44.0,44.0,4.0,3.0,4,6,3,0,0.0,0.0,0.0
161,45-54,Male,Masters degree,46.0,45.0,49.0,42.0,44.0,4.0,8.0,5,6,6,3,0.5,1.0,1.3333333333333333
162,35-44,Male,University degree,29.0,42.0,40.0,54.0,39.0,3.0,3.0,5,6,5,4,0.0,0.0,0.0
163,25-34,Female,University degree,38.0,40.0,45.0,53.0,48.0,2.0,6.0,3,5,6,1,0.0,0.0,0.6666666666666666
164,25-34,Female,"Some college or university, no certificate or degree",53.0,40.0,44.0,49.0,43.0,4.0,4.0,4,6,6,6,0.0,0.0,0.0
165,25-34,Female,Doctorate degree,37.0,42.0,35.0,52.0,49.0,2.0,5.0,3,3,6,1,0.25,0.0,0.0
166,45-54,Male,Masters degree,33.0,38.0,44.0,40.0,52.0,2.0,4.0,6,6,5,0,0.0,0.0,0.3333333333333333
167,18-24,Male,"Some college or university, no certificate or degree",50.0,31.0,51.0,27.0,27.0,7.0,7.0,5,5,5,6,1.5,0.0,1.0
168,25-34,Female,Professional certificate/diploma,36.0,40.0,39.0,40.0,48.0,6.0,5.0,2,5,6,0,0.0,0.0,0.0
169,25-34,Female,University degree,38.0,48.0,37.0,41.0,33.0,6.0,8.0,5,6,6,1,0.5,0.0,0.0
170,18-24,Female,Left school at 18 years ,32.0,40.0,36.0,47.0,41.0,3.0,8.0,5,6,5,4,0.0,1.5,0.0
171,45-54,Male,Left school at 16 years,49.0,38.0,44.0,44.0,41.0,7.0,8.0,2,6,5,1,0.75,2.0,0.0
172,35-44,Male,Masters degree,32.0,46.0,58.0,48.0,36.0,8.0,11.0,6,6,6,1,0.0,0.5,0.3333333333333333
173,45-54,Female,Professional certificate/diploma,41.0,36.0,43.0,40.0,47.0,5.0,3.0,5,6,6,5,0.0,0.0,0.6666666666666666
174,35-44,Female,University degree,46.0,44.0,54.0,44.0,44.0,6.0,8.0,6,6,5,0,0.0,0.0,0.0
175,35-44,Female,Professional certificate/diploma,46.0,36.0,30.0,48.0,30.0,7.0,7.0,6,6,5,6,0.0,1.0,0.0
176,55-64,Female,University degree,42.0,40.0,49.0,51.0,43.0,5.0,7.0,5,6,6,3,0.0,0.0,0.0
177,35-44,Female,University degree,34.0,36.0,40.0,35.0,38.0,2.0,3.0,3,5,4,0,0.0,0.0,0.0
178,35-44,Female,University degree,50.0,40.0,37.0,37.0,49.0,3.0,5.0,5,6,4,0,0.0,0.0,0.0
179,45-54,Female,University degree,44.0,33.0,43.0,48.0,41.0,5.0,6.0,5,6,6,6,0.25,0.0,0.3333333333333333
180,35-44,Female,Professional certificate/diploma,40.0,39.0,39.0,50.0,37.0,2.0,3.0,5,6,4,6,0.5,0.0,1.0
181,45-54,Female,Professional certificate/diploma,39.0,44.0,35.0,45.0,48.0,5.0,7.0,5,6,5,2,0.0,0.0,0.0
182,25-34,Male,Doctorate degree,24.0,37.0,44.0,47.0,48.0,3.0,3.0,5,6,5,0,0.0,0.0,0.0
183,35-44,Female,"Some college or university, no certificate or degree",39.0,45.0,44.0,51.0,47.0,2.0,3.0,5,0,4,0,0.0,0.0,0.0
184,18-24,Female,University degree,54.0,37.0,48.0,38.0,48.0,3.0,8.0,6,6,5,6,3.0,0.0,1.0
185,55-64,Male,Left school at 18 years ,36.0,34.0,39.0,47.0,44.0,2.0,3.0,6,6,5,6,0.0,0.0,0.0
186,35-44,Female,University degree,39.0,44.0,46.0,48.0,41.0,4.0,5.0,5,6,5,0,0.25,0.0,0.6666666666666666
187,35-44,Female,Masters degree,29.0,49.0,47.0,45.0,53.0,2.0,2.0,6,6,4,1,0.0,0.0,0.0
188,55-64,Female,Left school at 16 years,28.0,34.0,32.0,50.0,46.0,2.0,2.0,4,3,5,1,0.0,0.0,0.0
189,45-54,Female,Left school at 16 years,40.0,30.0,31.0,47.0,40.0,2.0,1.0,4,3,6,6,0.0,1.0,0.0
190,18-24,Female,Masters degree,32.0,40.0,43.0,44.0,47.0,3.0,4.0,5,5,4,3,0.0,0.0,0.0
191,55-64,Female,Professional certificate/diploma,23.0,40.0,40.0,47.0,40.0,3.0,2.0,5,3,5,0,0.0,0.5,0.0
192,18-24,Male,University degree,32.0,48.0,38.0,47.0,38.0,6.0,7.0,5,6,5,2,0.0,0.0,0.0
193,25-34,Female,Professional certificate/diploma,28.0,38.0,45.0,45.0,38.0,7.0,7.0,5,6,4,6,0.75,0.5,1.0
194,45-54,Female,University degree,39.0,32.0,43.0,44.0,43.0,2.0,7.0,5,6,5,0,0.0,0.0,0.3333333333333333
195,25-34,Female,University degree,27.0,48.0,46.0,43.0,45.0,3.0,3.0,3,4,5,0,0.0,0.0,0.0
196,55-64,Female,University degree,42.0,42.0,51.0,41.0,48.0,6.0,7.0,5,6,4,4,0.25,0.5,0.0
197,18-24,Male,University degree,30.0,42.0,42.0,51.0,35.0,5.0,3.0,4,5,4,0,0.0,0.0,0.0
198,55-64,Female,University degree,32.0,43.0,41.0,37.0,38.0,3.0,4.0,5,5,5,0,0.0,0.0,0.0
199,25-34,Female,Professional certificate/diploma,35.0,43.0,50.0,48.0,42.0,9.0,10.0,6,5,6,6,3.25,3.5,3.0
200,45-54,Female,Professional certificate/diploma,31.0,54.0,51.0,54.0,50.0,6.0,7.0,4,6,5,6,2.25,1.0,4.333333333333333
201,18-24,Female,University degree,30.0,41.0,40.0,50.0,51.0,6.0,10.0,6,5,6,0,0.0,0.0,0.0
202,35-44,Male,Masters degree,34.0,33.0,42.0,34.0,50.0,3.0,4.0,5,6,6,4,2.75,2.5,2.6666666666666665
203,35-44,Female,University degree,29.0,48.0,43.0,49.0,49.0,5.0,4.0,6,6,2,1,0.0,1.5,0.0
204,65+,Male,Left school before 16 years,22.0,32.0,29.0,37.0,37.0,2.0,1.0,5,6,5,6,0.0,0.0,0.0
205,25-34,Female,University degree,34.0,46.0,54.0,43.0,44.0,4.0,8.0,5,6,5,4,1.5,2.0,2.0
206,35-44,Female,Left school at 16 years,34.0,47.0,48.0,37.0,34.0,9.0,8.0,5,6,6,0,0.0,1.5,0.0
207,18-24,Female,University degree,35.0,48.0,50.0,44.0,45.0,7.0,7.0,5,6,6,0,0.0,0.0,0.0
208,35-44,Female,Professional certificate/diploma,29.0,43.0,42.0,47.0,41.0,4.0,8.0,5,6,3,6,1.0,2.5,1.0
